"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Home loan Interest Calculator","8","0","verify fitness health calculator is working","0"
"0","","0","Home loan Interest Calculator","3","0","verify that percentage calculator is working","0"
"0","","0","Home loan Interest Calculator","3","0","check whether calculator Button is working","0"
"0","","0","Home loan Interest Calculator","4","0","Verify calculator button with invalid inputs","0"
"0","","0","Home loan Interest Calculator","4","0","verify that heat index temperature calculator is working","0"
"0","","0","Home loan Interest Calculator","1","0","verify that one step executed multiple times","0"
"0","","0","Home loan Interest Calculator","5","0","verify that GPA calculator is working","0"
"0","","0","Home loan Interest Calculator","1","0","verify different links are working on homepage","0"
"0","","0","Home loan Interest Calculator","1","0","verify that multiple links present on the homepage are working or not","0"
